member_id,loan ,loan_amount,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
70694,5000,500000,5000,350,36 months,BAT5869156,11.54,C,C5,Outstanding Pool & Spa,9 years,MORTGAGE,55000,Not Verified,n,"Thank you for viewing my loan request. I am asking for this loan to pay off 2 credit card balances. One has 700 on it and the other is about 1,600. I also would like to do some home improvements. I have owned my home for the last 1 1/2 years. I just found out that a need a new drainfield so that will be first on the list. I also want to paint the whole interior of the house in neutral colors. My last project is to replace the kitchen countertops with granite as the old ones are beginning to show wear.  I have been self-employed for the last 9 years in a service business. My business has continued to grow and has great clients. I have no late payments or deliquencies on my credit report. I have paid my bills on time and take pride in that.  Again thanks for viewing my loan request and know I will work hard to pay this loan back as I have with my other bills in the past.",other,Pay 2 credit cards and Home Improvement,287xx,NC,10,0,4,,,6,0,2447,65.5,13,f,352.34,0,182.27,1.84,,,INDIVIDUAL,,35th week,0,,,,0
92502,5000,500000,5000,250,36 months,,7.43,A,A2,Rush Univ Med Grp,1 year,OWN,85000,Not Verified,n,,credit_card,My Credit Card Loan,537xx,WI,0.31,0,0,0,0,7,0,216,0.6,19,f,593.54,0,0,0,,,INDIVIDUAL,,157th week,0,,,,1
95191,20000,2000000,20000,700,36 months,,15.01,F,F1,hf palm corp,2 years,OWN,80000,Not Verified,n,refinancing,credit_card,lending,333xx,FL,3.11,1,6,2,0,5,0,7883,59.3,6,f,2435.47,0,667.24,6.68,,,INDIVIDUAL,,48th week,0,,,,0
110482,3500,350000,3500,2575,36 months, ,12.17,D,D2,Borders Books + Music,< 1 year,RENT,10000,Not Verified,n,"Spent way too much gallavanting around europe, and I now require a better interest rate to keep myself out of the sysiphean task of 25+ % interest",credit_card,Paying off my credit card,121xx,NY,14.76,0,0,0,0,3,0,4784,95.7,4,f,695.03,0,0,0,,,INDIVIDUAL,,157th week,0,,,,1
118364,16225,1622500,16225,475,36 months,BAT4347689,17.86,G,G5,"Sale solutions, inc",2 years,MORTGAGE,120000,Not Verified,n,refinancing,credit_card,refinancing credit cards,300xx,GA,14.09,1,0,2,0,16,0,1100,6,20,f,4848.88,0,0,0,,,INDIVIDUAL,,157th week,1,,,,1
119040,15450,1545000,15450,600,36 months,,11.22,C,C4,ARIN,2 years,MORTGAGE,40000,Not Verified,n,Thank you for reviewing my request.  This loan will be used to pay off credit cards and a doctor bill. The credit cards that will be paid are as follows:  American Express   $700    30% American Express   $7036  30% Visa                        $5000  10.99% JC Penny                $708    21% Kohls                      $408   21.99% Doctor bill               $1000   I earn $2356 a month and my husband earns $3624 a month. We earn together $5980 a month.  Our expenses are as follows:  Mortgage                $1876 2nd mortgage         $680 Utilities                    $300 Cars payment          $556 Gas (car)                  $220 cell phones              $167 credit cards              $550 clothes                     $100 food entertainment  $200  We would try a home loan but housing market as fallen below what our house use to be last year so that is currently not an option for us. Thank you for taking the time to read my request. God bless,debt_consolidation,paying credit cards and doctor bill.,201xx,VA,13.5,0,3,54,111,13,1,6513,34.3,29,f,2659.96,0,304.2,3.09,,,INDIVIDUAL,,113th week,0,,,,0
119068,5000,500000,5000,725,36 months,BAT4347689,14.7,E,E5,Douglas County,6 years,MORTGAGE,50000,Not Verified,n,"I have 1 Credit Card that is 19.75% That I'd like to pay-off with this loan at at much lower rate.  I do have substantial debt from a mortgage, to student loans, to a Home Depot card.  But the one in question is my only credit card.  I take my financial obligations very seriously -- having never been late with a payment to anything in my entire life.  I don't really need this loan.  I spent the last couple of weeks developing a more strict budget.  The reason for this being, that even though I manage my obligation very well I would still like to eventually become debt free.  At 19.75%, it will take a very long time to pay it off.  So when I heard about lending club, I decided to give it a try.  This loan would allow me to pay-off this balance in it's entirety a full two years before I could normally.  Thank you for considering my loan.",credit_card,Refinance High Rate Credit Card,681xx,NE,15.14,0,0,0,0,15,0,36662,82.9,24,f,1212.59,0,0,0,,,INDIVIDUAL,,157th week,0,,,,1
123812,1800,180000,1800,300,36 months,,14.07,E,E3,Purdue University,1 year,RENT,10192,Not Verified,n,I am stuck with a 17% APR on my Citibank Credit Card and I think with a loan from Lending Club at a much lower rate I can save myself a lot of money while helping investors make money.,credit_card,Refinancing my Citicard,479xx,IN,5.06,0,1,0,0,4,0,2925,97.5,4,f,397.04,0,0,0,0,,INDIVIDUAL,,131th week,0,,,,1
124621,4000,400000,4000,2675,36 months, ,9.33,B,B3,,< 1 year,MORTGAGE,50000,Not Verified,n,I will be using the money to buy a car,car,Buying a car,100xx,NY,4,0,3,,,4,0,6500,80,3,f,600.1,0,0,0,,,INDIVIDUAL,,157th week,0,,,,1
129893,8000,800000,8000,2475,36 months,BAT4160421,8.07,A,A4,,3 years,RENT,54000,Not Verified,n,"Loan funds would be used to pay off a personal line of credit (not a credit card) at fixed 9.55%. I have no problem paying this loan at the current payment amount (~$225), but am able to get a slightly better rate at Lending Club.   Additional financial information:  Occupation: 2004-2007:  Project Manager Rent payment: $530/month (my portion) Student loan payments: $250/month Other monthly payments: Phone, internet, electric, renter's insurance: approx $100/month.    Thanks for your interest in my listing!",credit_card,Financially Stable Borrower,606xx,IL,10.44,0,1,0,0,20,0,0,0,42,f,110.59,0,0,0,0,,INDIVIDUAL,,17th week,0,,,,1
